School Name,NCES School ID,County Name,Street Address,City,State,ZIP,ZIP 4-digit,Phone,Locale Code,Locale,Charter,Magnet,Title I School,Title 1 School Wide,Students,Teachers,Student Teacher Ratio,Free Lunch,Reduced Lunch,Directly Certified
Kennedy Learning Center,263231008709,Oakland County,16229 Mt Vernon,Southfield,MI,48075,,(248)746-8828,13,City: Small,No,No,Yes,Yes,50,7.5,6.67,26,0,–
Kenowa Hills High School,262028005702,Kent County,3825 HENDERSHOT AVE NW,GRAND RAPIDS,MI,49544,9118,(616)784-2400,21,Suburb: Large,No,No,No,†,989,52.22,18.94,327,65,–
Kenowa Hills Pathways High School,262028008817,Kent County,3950 Hendershot NW,Grand Rapids,MI,49544,,(616)784-2511,21,Suburb: Large,No,No,Yes,Yes,91,0.8,113.75,55,7,–
Kensington Woods Schools,260009900612,Livingston County,9501 Pettys Road,Lakeland,MI,48143,,(517)545-0828,22,Suburb: Midsize,Yes,No,Yes,No,129,8.3,15.54,40,5,–
Kent Career Tech Center,268062000562,Kent County,1655 EAST BELTLINE AVE NE,GRAND RAPIDS,MI,49525,4502,(616)364-8421,12,City: Midsize,No,No,No,†,0,58.8,†,–,–,–
Kent City Alternative High School,262031008219,Kent County,351 N MAIN ST,KENT CITY,MI,49330,9110,(616)678-4210,42,Rural: Distant,No,No,Yes,Yes,6,0.4,15,†,†,†
Kent City High School,262031005708,Kent County,351 NORTH MAIN ST,KENT CITY,MI,49330,9110,(616)678-4210,42,Rural: Distant,No,No,No,†,386,15.3,25.23,139,10,–
Kent Education CenterBeltline,268062000888,Kent County,1606 LEFFINGWELL AVE NE,GRAND RAPIDS,MI,49525,4530,(616)410-4760,12,City: Midsize,No,No,No,†,47,13,3.62,35,0,–
Kent Innovation High School,268062008464,Kent County,1655 E BELTLINE AVE NE,GRAND RAPIDS,MI,49525,4502,(616)363-8020,12,City: Midsize,No,No,No,†,0,4,†,–,–,–
Kent ISD Deaf and Hard of Hearing,268062008896,Kent County,4300 COSTA AVE NE,GRAND RAPIDS,MI,49525,6103,(616)410-4990,21,Suburb: Large,No,No,No,†,62,15.5,4,33,1,–
Keys Grace Academy,260110008739,Oakland County,27321 Hampden Street,Madison Heights,MI,48071,,(248)939-0663,21,Suburb: Large,Yes,No,Yes,Yes,485,28.3,17.14,484,1,–
Kingsford High School,260672004267,Dickinson County,431 HAMILTON AVE,KINGSFORD,MI,49802,4513,(906)779-2670,33,Town: Remote,No,No,No,†,580,29.66,19.55,163,14,–
Kingsley Area High School,262038005722,Grand Traverse County,402 FENTON ST,KINGSLEY,MI,49649,9397,(231)263-5262,42,Rural: Distant,No,No,No,†,500,25.44,19.65,183,28,–
Kingsley Montgomery School,263531007141,Oakland County,4265 Halkirk,Waterford,MI,48329,,(248)623-9660,21,Suburb: Large,No,No,No,†,38,12,3.17,20,4,–
Kingston High School,262040005724,Tuscola County,5790 STATE ST,KINGSTON,MI,48741,5105,(989)683-2294,43,Rural: Remote,No,No,Yes,Yes,298,14.5,20.55,131,24,–
Kinney School,262475000062,Isabella County,720 NORTH KINNEY AVE,MOUNT PLEASANT,MI,48858,1757,(989)775-2350,32,Town: Distant,No,No,No,†,7,2,3.5,†,†,†
Kinross Correctional Facility,260000107928,Chippewa County,16770 SOUTH WATER TOWER DR,KINCHELOE,MI,49788,1637,(906)495-2282,41,Rural: Fringe,No,No,No,†,0,0,†,–,–,–
Laingsburg High School,262055005727,Shiawassee County,8008 WOODBURY RD,LAINGSBURG,MI,48848,9752,(517)651-5091,42,Rural: Distant,No,No,No,†,381,21.38,17.82,71,15,–
Lake City High School,262061007749,Missaukee County,PO Box 900,Lake City,MI,49651,900,(231)839-6600,42,Rural: Distant,No,No,No,†,379,19.06,19.88,230,49,–
Lake Fenton High School,262067005730,Genesee County,4070 Lahring Rd,Linden,MI,48451,,(810)591-9591,41,Rural: Fringe,No,No,No,†,719,33.56,21.42,174,26,–
Lake Huron Virtual Hybrid High School,262523008215,Macomb County,PO Box 482000,New Haven,MI,48048,2000,(586)749-5123,21,Suburb: Large,No,No,Yes,Yes,41,1.32,31.06,29,1,–
Lake LindenHubbell Schools,262070005734,Houghton County,601 CALUMET ST,LAKE LINDEN,MI,49945,1002,(906)296-6681,33,Town: Remote,No,No,Yes,Yes,366,26.42,13.85,181,32,–
Lake Orion Community High School,262073005739,Oakland County,495 EAST SCRIPPS RD,LAKE ORION,MI,48360,2249,(248)693-5420,41,Rural: Fringe,No,No,No,†,2178,131.1,16.61,414,49,–
Lake Shore High School,263267006815,Macomb County,22980 EAST 13 MILE RD,SAINT CLAIR SHORES,MI,48082,2009,(586)285-8900,21,Suburb: Large,No,No,Yes,Yes,1029,60.15,17.11,452,65,–
Lakeland Correctional Facility,260000107903,Branch County,141 1ST ST,COLDWATER,MI,49036,8600,(517)278-6942,32,Town: Distant,No,No,No,†,0,0,†,–,–,–
Lakeland High School,261899005584,Oakland County,1630 BOGIE LAKE RD,WHITE LAKE,MI,48383,2728,(248)676-8320,21,Suburb: Large,No,No,No,†,1134,66.7,17,220,18,–
Laker High School,261309005007,Huron County,6136 PIGEON RD,PIGEON,MI,48755,9585,(989)453-4600,43,Rural: Remote,No,No,Yes,No,296,14.92,19.84,109,14,–
Lakeshore High School,262082005745,Berrien County,5771 CLEVELAND AVE,STEVENSVILLE,MI,49127,9481,(269)428-1402,23,Suburb: Small,No,No,No,†,872,45.32,19.24,200,23,–
LAKESHORE LEARNING CENTER,268085007799,Muskegon County,1001 WESLEY AVE,MUSKEGON,MI,49442,2189,(231)773-0534,13,City: Small,No,No,No,†,26,6.68,3.89,21,0,–
Lakeshore Virtual School,261587008793,Wayne County,30550 WEST JEFFERSON AVE,GIBRALTAR,MI,48173,9780,(734)379-7090,21,Suburb: Large,No,No,Yes,Yes,201,11.67,17.22,120,7,–
Lakeview Alternative High School,262085008913,Calhoun County,15 ARBOR ST,BATTLE CREEK,MI,49015,2903,(269)565-2420,13,City: Small,No,No,No,†,64,0.59,108.47,40,1,–
Lakeview High School,262091005764,Montcalm County,9800 YOUNGMAN RD,LAKEVIEW,MI,48850,9466,(989)352-7221,42,Rural: Distant,No,No,Yes,Yes,376,19.5,19.28,148,22,–
Lakeview High School,262085005749,Calhoun County,15060 Helmer Rd S,Battle Creek,MI,49015,9641,(269)565-3700,13,City: Small,No,No,No,†,1364,63.65,21.43,589,83,–
Lakeview High School,262088005759,Macomb County,21100 EAST 11 MILE RD,SAINT CLAIR SHORES,MI,48081,1581,(586)445-4045,21,Suburb: Large,No,No,No,†,1396,58.77,23.75,428,57,–
Lakeview Virtual School,262088008895,Macomb County,27575 HARPER AVE,ST CLR SHORES,MI,48081,1923,(586)445-4000,21,Suburb: Large,No,No,Yes,Yes,130,18.79,6.92,53,8,–
LakeVille High School,262094005766,Genesee County,12455 WILSON RD,OTISVILLE,MI,48463,9609,(810)591-4054,42,Rural: Distant,No,No,No,†,400,19.66,20.35,175,15,–
Lakewood High School,262098005774,Barry County,7223 VELTE RD,LAKE ODESSA,MI,48849,9481,(616)374-8868,42,Rural: Distant,No,No,Yes,No,519,24.5,21.18,134,31,–
Lamphere Center,262112007673,Oakland County,29685 TAWAS ST,MADISON HEIGHTS,MI,48071,5425,(248)589-3155,21,Suburb: Large,No,No,No,†,37,8,4.63,17,1,–
Lamphere High School,262112005781,Oakland County,610 WEST 13 MILE RD,MADISON HEIGHTS,MI,48071,1858,(248)589-3943,21,Suburb: Large,No,No,No,†,736,38.6,19.07,327,23,–
Landmark Academy,260022001176,St. Clair County,4800 LAPEER RD,KIMBALL,MI,48074,1517,(810)982-7210,23,Suburb: Small,Yes,No,Yes,Yes,809,42.4,19.08,539,25,–
LAnse Area School,260001805923,Baraga County,201 NORTH 4TH ST,LANSE,MI,49946,1499,(906)524-6000,43,Rural: Remote,No,No,Yes,Yes,557,31.08,17.92,320,39,–
Lapeer Co Education and Technology Center,268066000914,Lapeer County,690 NORTH LAKE PLEASANT RD,ATTICA,MI,48412,9770,(810)664-1124,42,Rural: Distant,No,No,No,†,29,27,1.07,14,3,–
Lapeer High School,262118005840,Lapeer County,933 SOUTH SAGINAW ST,LAPEER,MI,48446,2643,(810)667-2418,31,Town: Fringe,No,No,Yes,No,1243,48.6,25.58,403,28,–
LaSalle High School,260001203862,Mackinac County,W443 PORTAGE ST,SAINT IGNACE,MI,49781,1476,(906)643-8800,41,Rural: Fringe,No,No,Yes,No,203,8,25.38,98,14,–
Lawrence JrSr High School,262121005845,Van Buren County,650 WEST SAINT JOSEPH ST,LAWRENCE,MI,49064,9323,(269)674-8232,42,Rural: Distant,No,No,Yes,Yes,247,14.38,17.18,156,18,–
Lawton Accelerated Academic Center,262124001915,Van Buren County,101 PRIMARY WAY,LAWTON,MI,49065,8781,(269)624-7542,31,Town: Fringe,No,No,Yes,Yes,55,0.4,137.5,39,0,–
Lawton High School,262124005847,Van Buren County,101 PRIMARY WAY,LAWTON,MI,49065,8781,(269)624-7800,41,Rural: Fringe,No,No,Yes,Yes,300,15.35,19.54,107,9,–
LCS Virtual Academy,262157009005,Washtenaw County,7525 WILLIS RD,YPSILANTI,MI,48197,8918,(734)484-7000,41,Rural: Fringe,No,No,No,†,242,6,40.33,135,10,–
Learning Center,268034000126,Delta County,5219 18TH RD,ESCANABA,MI,49829,9304,(906)789-9476,33,Town: Remote,No,No,No,†,80,8,10,52,2,–
Learning Options High School,262073008778,Oakland County,455 E Scripps Road,Lake Orion,MI,48360,2249,(248)693-5450,21,Suburb: Large,No,Yes,Yes,Yes,85,3.23,26.32,38,9,–
Lee High School,261608005260,Kent County,1335 Lee St SW,Wyoming,MI,49509,1357,(616)452-3296,21,Suburb: Large,No,No,Yes,Yes,524,26.23,19.98,431,48,–
Lee M Thurston High School,263228006762,Wayne County,26255 Schoolcraft,Redford,MI,48239,2775,(313)242-0600,21,Suburb: Large,No,No,No,†,1009,49.56,20.36,545,49,–
Legacy Academy,260110308902,Wayne County,2750 SELDEN ST,DETROIT,MI,48208,2544,(313)578-7235,11,City: Large,No,No,Yes,Yes,24,11,2.18,21,0,–
Legacy High School,261791000090,Livingston County,9525 EAST HIGHLAND RD,HOWELL,MI,48843,9098,(810)626-2140,41,Rural: Fringe,No,No,Yes,No,46,3.7,12.43,16,0,–
Leland Public School,262139005849,Leelanau County,PO Box 498,Leland,MI,49654,498,(231)256-9857,42,Rural: Distant,No,No,Yes,Yes,453,29.21,15.51,152,27,–
Leslie High School,262145005852,Ingham County,4141 HULL RD,LESLIE,MI,49251,9578,(517)589-9500,41,Rural: Fringe,No,No,No,†,335,21.56,15.54,121,19,–
Lets Talk About It Girls Home,261995008887,Kalamazoo County,1004 CONANT ST,KALAMAZOO,MI,49007,2365,(248)431-1371,13,City: Small,No,No,No,†,0,0,†,–,–,–
Lets Talk About It Home for Young Men,261995008893,Kalamazoo County,1220 Howard St,Kalamazoo,MI,49008,1882,(248)431-1371,13,City: Small,No,No,No,†,0,0,†,–,–,–
Life Skills Center,268044001584,Grand Traverse County,880 PARSONS RD,TRAVERSE CITY,MI,49686,3622,(231)922-6357,33,Town: Remote,No,No,No,†,80,17.6,4.55,31,1,–
Life Skills Center of Pontiac,260029201723,Oakland County,142 AUBURN AVE,PONTIAC,MI,48342,3008,(248)499-7421,13,City: Small,Yes,No,Yes,Yes,62,2,31,59,0,–
LifeTech Academy,260105808544,Eaton County,854 ELMWOOD RD,LANSING,MI,48917,2070,(517)325-5469,21,Suburb: Large,Yes,No,Yes,No,375,8.07,46.47,191,18,–
Lighthouse Academy Eagle Village,260094908763,Osceola County,4507 170th Avenue,Hersey,MI,49639,,(616)305-6681,43,Rural: Remote,Yes,No,No,†,36,5.05,7.13,33,0,–
Lighthouse Academy Juvenile Justice Institute,260094909011,Ottawa County,12263 JAMES ST,HOLLAND,MI,49424,8613,(616)393-4450,23,Suburb: Small,Yes,No,Yes,Yes,13,1.35,9.63,10,0,–
Lighthouse Academy North Campus,260094908334,Kent County,1260 EKHART ST NE,GRAND RAPIDS,MI,49503,1380,(616)965-9700,12,City: Midsize,Yes,No,Yes,Yes,67,4.71,14.23,65,1,–
Lighthouse Academy Ottawa Juvenile Detention Center,260094909010,Ottawa County,12120 FILLMORE ST,WEST OLIVE,MI,49460,8985,(616)786-4130,42,Rural: Distant,Yes,No,No,†,28,4.58,6.11,25,0,–
Lighthouse Academy South Campus,260094907848,Kent County,3300 36TH ST SE,Kentwood,MI,49512,2810,(616)949-2287,13,City: Small,Yes,No,Yes,Yes,74,8.96,8.26,66,5,–
Lighthouse Academy The Pier,260094908764,Kent County,703 Ball Avenue NE,Grand Rapids,MI,49503,,(616)304-8537,12,City: Midsize,Yes,No,No,†,25,2.63,9.51,22,0,–
Lighthouse Academy Waalkes,260094908355,Kent County,1501 CEDAR ST NE,GRAND RAPIDS,MI,49503,1300,(616)304-8537,12,City: Midsize,Yes,No,No,†,55,6.01,9.15,52,0,–
Lighthouse Connections Academy,260111808853,Oakland County,3150 LIVERNOIS RD,TROY,MI,48083,5000,(248)457-5929,13,City: Small,Yes,No,Yes,Yes,2612,56.21,46.47,1720,138,–
Lighthouse Education Center,268016000465,Berrien County,379 WEST GLENLORD RD,SAINT JOSEPH,MI,49085,9123,(269)429-2351,41,Rural: Fringe,No,No,No,†,119,33,3.61,89,8,–
Lincoln Alternative High School,262721001832,Shiawassee County,645 Alger Street,Owosso,MI,48867,4601,(989)725-2839,32,Town: Distant,No,No,Yes,Yes,69,4.19,16.47,54,1,–
Lincoln Developmental Center,268062008884,Kent County,862 CRAHEN AVE NE,GRAND RAPIDS,MI,49525,3477,(616)410-4800,41,Rural: Fringe,No,No,No,†,83,15,5.53,27,0,–
Lincoln High School,263468007048,Macomb County,22900 FEDERAL AVE,WARREN,MI,48089,5308,(586)758-8307,12,City: Midsize,No,No,Yes,Yes,467,31.9,14.64,378,18,–
Lincoln Park High School,262160005866,Wayne County,1701 CHAMPAIGN RD,LINCOLN PARK,MI,48146,3237,(313)389-0234,21,Suburb: Large,No,No,No,†,1380,63,21.9,1050,76,–
Lincoln School,268062005328,Kent County,860 CRAHEN AVE NE,GRAND RAPIDS,MI,49525,3477,(616)410-4700,41,Rural: Fringe,No,No,No,†,96,19,5.05,39,0,–
Lincoln Senior High School,262157005855,Washtenaw County,7425 WILLIS RD,YPSILANTI,MI,48197,8919,(734)484-7004,41,Rural: Fringe,No,No,No,†,946,49.81,18.99,361,31,–
LincolnKing Adams Young School Grove Campus,260113909006,Wayne County,13436 GROVE ST,DETROIT,MI,48235,4222,(313)862-2352,11,City: Large,Yes,No,Yes,Yes,525,9,58.33,523,0,–
Linden High School,262169005870,Genesee County,7201 SILVER LAKE RD,LINDEN,MI,48451,8710,(810)591-0410,21,Suburb: Large,No,No,No,†,838,41.9,20,179,18,–
Link Learning Belding,260543008730,Ionia County,9057 Belding Road 2,Belding,MI,48809,,(616)244-3547,41,Rural: Fringe,No,No,Yes,Yes,85,2,42.5,55,3,–
Link Learning Escanaba,260543008485,Delta County,1620 Ludington St,Escanaba,MI,49829,9708,(616)244-3547,33,Town: Remote,No,No,Yes,Yes,181,1,181,121,7,–
Link Learning Grand Rapids Alger Heights,260543008617,Kent County,2431 EASTERN AVE SE,GRAND RAPIDS,MI,49507,3601,(616)244-3547,12,City: Midsize,No,No,Yes,Yes,230,4,57.5,191,4,–
Link Learning Grand Rapids Fuller Ave,260543008711,Kent County,1309 LEONARD ST NE,GRAND RAPIDS,MI,49505,5512,(616)244-3547,12,City: Midsize,No,No,Yes,Yes,178,2,89,140,4,–
Link Learning Howard CityTri County,260543008529,Montcalm County,412 EAST EDGERTON ST 207,HOWARD CITY,MI,49329,8797,(616)244-3547,42,Rural: Distant,No,No,Yes,Yes,79,2,39.5,53,2,–
Link Learning Kenowa Hills,260543008753,Kent County,3233 Alpine Avenue NW,Grand Rapids,MI,49544,,(616)244-3547,21,Suburb: Large,No,No,Yes,Yes,190,3,63.33,141,7,–
Link Learning Lakeview,260543008607,Montcalm County,9720 N GREENVILLE RD,LAKEVIEW,MI,48850,9191,(616)244-3547,42,Rural: Distant,No,No,Yes,Yes,80,1,80,51,2,–
Link Learning Menominee,260543008642,Menominee County,955 1ST ST,MENOMINEE,MI,49858,3233,(616)244-3547,32,Town: Distant,No,No,No,†,104,2,52,61,2,–
Link Learning Merrill,260543008969,Saginaw County,148 N MIDLAND ST,MERRILL,MI,48637,,(616)244-3547,42,Rural: Distant,No,No,Yes,Yes,91,1,91,63,3,–
Link Learning Schoolcraft,260543008584,St. Joseph County,210 ENTERPRISE DR,THREE RIVERS,MI,49093,7901,(616)244-3547,31,Town: Fringe,No,No,Yes,Yes,163,1,163,127,3,–
Link Learning St Louis,260543008736,Gratiot County,227 N Mill,St Louis,MI,48880,,(616)244-3547,32,Town: Distant,No,No,Yes,Yes,135,1,135,100,3,–
Link Learning StantonCentral Montcalm,260543008478,Montcalm County,710 N STATE ST,STANTON,MI,48888,9706,(616)244-3547,42,Rural: Distant,No,No,Yes,Yes,114,1,114,93,1,–
LISD TECH Center,268068000607,Lenawee County,1372 NORTH MAIN ST,ADRIAN,MI,49221,1724,(517)263-2108,41,Rural: Fringe,No,No,No,†,0,33.42,†,–,–,–
Litchfield High School,262175005873,Hillsdale County,210 WILLIAMS ST,LITCHFIELD,MI,49252,9641,(517)542-2386,42,Rural: Distant,No,No,Yes,Yes,140,7.34,19.07,98,1,–
Livingston Classical Academy,260110808791,Washtenaw County,8877 Main Street,Whitmore Lake,MI,48189,,(734)839-6307,22,Suburb: Midsize,Yes,No,Yes,No,271,23.5,11.53,51,2,–
Livonia Career Technical Center,262184000764,Wayne County,8985 NEWBURGH RD,LIVONIA,MI,48150,3424,(734)744-2816,13,City: Small,No,No,No,†,2,14.6,0.14,†,†,†
LLCArenac Campus,268050401325,Arenac County,2032 PINE RIVER RD,STANDISH,MI,48658,9651,(989)846-9510,42,Rural: Distant,No,No,No,†,0,3,†,–,–,–
LLCBay Campus,268050401324,Bay County,1435 WEST CENTER RD,ESSEXVILLE,MI,48732,2111,(989)846-9510,23,Suburb: Small,No,No,No,†,56,14,4,21,2,–
LocalBased SpecEd Programs,268099001620,Washtenaw County,PO Box 1406,Ann Arbor,MI,48106,1406,(734)994-8100,21,Suburb: Large,No,No,No,†,15,2.6,5.77,5,0,–
Lowell Senior High School,262205005926,Kent County,11700 VERGENNES ST,LOWELL,MI,49331,9006,(616)987-2900,41,Rural: Fringe,No,No,No,†,1125,56.32,19.98,217,45,–
Loy Norrix High School,261995005663,Kalamazoo County,606 EAST KILGORE RD,KALAMAZOO,MI,49001,5564,(269)337-0200,13,City: Small,No,No,Yes,Yes,1807,65.89,27.42,1039,93,–
Ludington High School,262220005933,Mason County,809 EAST TINKHAM AVE,LUDINGTON,MI,49431,1594,(231)845-3880,33,Town: Remote,No,No,No,†,704,33.77,20.85,277,28,–
Luther L Wright K12 School,261947005612,Gogebic County,650 EAST AYER ST,IRONWOOD,MI,49938,2206,(906)932-0932,33,Town: Remote,No,No,Yes,Yes,693,49.54,13.99,369,47,–
Lyle A Torrant Center,268058000863,Jackson County,1175 WEST PARNALL RD,JACKSON,MI,49201,8652,(517)787-8910,23,Suburb: Small,No,No,No,†,173,31,5.58,97,14,–
Mackinac Island School,262223005938,Mackinac County,PO Box 340,Mackinac Island,MI,49757,340,(906)847-3377,42,Rural: Distant,No,No,No,†,52,9.71,5.36,12,0,–
Mackinaw City K12 School,262226005939,Emmet County,609 WEST CENTRAL AVE,MACKINAW CITY,MI,49701,9650,(231)436-8211,42,Rural: Distant,No,No,Yes,No,144,15.86,9.08,72,4,–
Mackinaw High School,263045001580,Saginaw County,2775 SHATTUCK RD,SAGINAW,MI,48603,3161,(989)799-8470,22,Suburb: Midsize,No,No,Yes,Yes,149,6,24.83,116,3,–
Macomb Correctional Facility,260000107923,Macomb County,34625 26 MILE RD,LENOX,MI,48048,3000,(586)749-4900,21,Suburb: Large,No,No,No,†,9,0,†,6,0,–
Macomb County Juvenile Justice Center School,262187000202,Macomb County,400 NORTH ROSE ST,MOUNT CLEMENS,MI,48043,1522,(586)469-6553,21,Suburb: Large,No,No,No,†,33,2.6,12.69,22,0,–
Macomb Math Science Technology Center,263519008566,Macomb County,27500 COSGROVE DR,WARREN,MI,48092,3093,(586)698-4393,12,City: Midsize,No,No,No,†,0,9,†,–,–,–
Madison Academy High School,260031708195,Genesee County,3266 South Genesee Road,Burton,MI,48519,,(810)875-9050,21,Suburb: Large,Yes,No,Yes,Yes,243,104,2.34,206,15,–
Madison High School,262229005943,Oakland County,915 EAST 11 MILE RD,MADISON HEIGHTS,MI,48071,3721,(248)548-1800,21,Suburb: Large,No,No,Yes,Yes,284,16.4,17.32,217,13,–
Madison High School,262232005947,Lenawee County,3498 TREAT HWY,ADRIAN,MI,49221,9763,(517)263-0742,32,Town: Distant,No,Yes,No,†,427,23.05,18.52,180,17,–
Madison Preparatory High School,262229001280,Oakland County,915 E 11 MILE RD,MADISON HTS,MI,48071,3721,(248)543-5465,21,Suburb: Large,No,No,Yes,Yes,26,2,13,24,0,–
Madison School,263654007256,Wayne County,4460 18th Street,WYANDOTTE,MI,48192,6910,(734)759-6400,21,Suburb: Large,No,No,Yes,Yes,158,31.9,4.95,74,5,–
MALC,262391007824,Tuscola County,8664 DEAN DR,MILLINGTON,MI,48746,9694,(989)660-2453,42,Rural: Distant,No,Yes,Yes,Yes,19,0.5,38,16,0,–
Malcolm High School,263099006730,Chippewa County,5788 S M 129,SAULT S MARIE,MI,49783,8942,(906)635-6638,41,Rural: Fringe,No,Yes,Yes,Yes,77,5.48,14.05,52,5,–
Malcolm Williams School,268052000536,Ingham County,PO Box 98,Onondaga,MI,49264,98,(517)244-1354,42,Rural: Distant,No,No,No,†,15,2,7.5,10,0,–
Mancelona High School,262235005949,Antrim County,112 ST JOHNS AVE,MANCELONA,MI,49659,9602,(231)587-8551,43,Rural: Remote,No,No,Yes,Yes,279,13.5,20.67,184,8,–
Manchester JuniorSenior High School,262238005952,Washtenaw County,20500 DUTCH DR,MANCHESTER,MI,48158,8758,(734)428-7333,42,Rural: Distant,No,No,Yes,No,388,18.26,21.25,64,12,–
Manistee ISD Center Programs,268074001380,Manistee County,772 E PARKDALE AVE,MANISTEE,MI,49660,9110,(231)723-6205,41,Rural: Fringe,No,No,No,†,44,8.1,5.43,25,4,–
Manistee Middle High School,262241005957,Manistee County,525 12TH ST,MANISTEE,MI,49660,2053,(231)723-2547,33,Town: Remote,No,No,No,†,742,37.8,19.63,337,38,–
Manistique Middle and High School,262247005963,Schoolcraft County,100 NORTH CEDAR ST,MANISTIQUE,MI,49854,1248,(906)252-4300,33,Town: Remote,No,No,Yes,Yes,427,20.88,20.45,201,94,–
Manton Consolidated High School,262250005966,Wexford County,105 5TH ST,MANTON,MI,49663,9473,(231)824-6411,42,Rural: Distant,No,No,Yes,Yes,272,16.42,16.57,130,3,–
Maple Grove Alternative High School,263648508308,Wayne County,24787 VAN HORN RD,BROWNSTOWN,MI,48134,9231,(734)783-3333,21,Suburb: Large,No,No,Yes,Yes,78,2,39,31,4,–
Maple Valley JrSr High School,262262005970,Eaton County,11090 NASHVILLE HWY,VERMONTVILLE,MI,49096,8578,(517)852-9275,42,Rural: Distant,No,Yes,Yes,Yes,391,19.95,19.6,176,15,–
Maple Valley Pathways High School,262262001595,Eaton County,11090 NASHVILLE HWY,VERMONTVILLE,MI,49096,8578,(517)852-9699,42,Rural: Distant,No,Yes,Yes,Yes,11,1,11,7,0,–
Marcellus High School,262274005973,Cass County,PO Box 48,Marcellus,MI,49067,48,(269)646-5081,42,Rural: Distant,No,No,Yes,Yes,187,11,17,90,15,–
Marine City High School,261242004941,St. Clair County,1085 WARD ST,MARINE CITY,MI,48039,3581,(810)676-1900,23,Suburb: Small,No,Yes,No,†,537,27.72,19.37,166,22,–
Marion D Crouse Instr Center,268040000130,Genesee County,2413 WEST MAPLE AVE,FLINT,MI,48507,3493,(810)591-4507,21,Suburb: Large,No,No,No,†,160,25,6.4,78,7,–
Marion High School,262280005976,Osceola County,PO Box O,Marion,MI,49665,715,(231)743-2836,43,Rural: Remote,No,No,Yes,Yes,223,11.29,19.75,144,22,–
Marlette JrSr High School,262286005980,Sanilac County,3051 MOORE ST,MARLETTE,MI,48453,1300,(989)635-4935,43,Rural: Remote,No,No,Yes,Yes,321,17.34,18.51,165,15,–
Marquette Branch Prison,260000107907,Marquette County,1960 US HIGHWAY 41 S,MARQUETTE,MI,49855,9131,(906)226-6531,33,Town: Remote,No,No,No,†,4,0,†,†,†,†
Marquette Senior High School,260001303869,Marquette County,1203 WEST FAIR AVE,MARQUETTE,MI,49855,2668,(906)225-4254,33,Town: Remote,No,No,No,†,968,48.99,19.76,194,21,–
MarquetteAlger Administrative Unit,268075001382,Marquette County,321 EAST OHIO ST,MARQUETTE,MI,49855,3847,(906)226-5102,33,Town: Remote,No,No,No,†,24,4.61,5.21,11,0,–
Marshall Academy,260025001225,Calhoun County,18203 HOMER RD,MARSHALL,MI,49068,8718,(269)781-6330,41,Rural: Fringe,Yes,No,Yes,Yes,295,21.35,13.82,164,12,–
Marshall High School,262297005985,Calhoun County,701 NORTH MARSHALL AVE,MARSHALL,MI,49068,9642,(269)781-1252,31,Town: Fringe,No,No,No,†,749,38.45,19.48,221,18,–
Marshall Opportunity High School,262297001536,Calhoun County,225 Watson Street,Albion,MI,49224,,(517)629-7549,31,Town: Fringe,No,No,Yes,Yes,110,6.12,17.97,77,2,–
Martin High School,262298005986,Allegan County,1556 CHALMERS,MARTIN,MI,49070,9762,(269)442-0400,42,Rural: Distant,No,No,Yes,Yes,329,29.37,11.2,154,6,–
Martin Luther King Jr Senior High School,260110304703,Wayne County,3200 EAST LAFAYETTE ST,DETROIT,MI,48207,3812,(313)494-7373,11,City: Large,No,No,Yes,Yes,807,49.6,16.27,590,11,–
Marysville High School,262304005989,St. Clair County,555 East Huron Blvd,MARYSVILLE,MI,48040,2110,(810)364-7161,23,Suburb: Small,No,No,No,†,798,37,21.57,195,9,–
Mason County Central HS,262313006003,Mason County,300 WEST BROADWAY AVE,SCOTTVILLE,MI,49454,1019,(231)757-4748,42,Rural: Distant,No,No,Yes,Yes,392,18.26,21.47,184,13,–
Mason County Eastern Junior HighHigh School,262316006008,Mason County,18 SOUTH MAIN ST,CUSTER,MI,49405,9624,(231)757-3733,42,Rural: Distant,No,No,Yes,Yes,185,9,20.56,111,12,–
Mason High School,262307005994,Ingham County,1001 SOUTH BARNES ST,MASON,MI,48854,1949,(517)676-9055,21,Suburb: Large,No,No,No,†,1013,50.9,19.9,232,27,–
Mason Senior High School,262310006001,Monroe County,2400 MASON EAGLE DR,ERIE,MI,48133,9373,(734)848-9353,41,Rural: Fringe,No,No,No,†,335,17.77,18.85,112,8,–
Mason Virtual Academy,262310008771,Monroe County,2400 Mason Eagle Drive,Erie,MI,48133,9373,(734)848-9353,41,Rural: Fringe,No,No,Yes,Yes,16,1.23,13.01,6,0,–
Mattawan High School,262325006011,Van Buren County,56720 MURRAY ST,MATTAWAN,MI,49071,8902,(269)668-3361,22,Suburb: Midsize,No,No,No,†,1185,57.3,20.68,171,18,–
Maurice Spear Campus,268068007910,Lenawee County,2910 AIRPORT RD,ADRIAN,MI,49221,4109,(517)263-5021,41,Rural: Fringe,No,No,No,†,32,4.42,7.24,24,0,–
Mayville Middle High School,262328006013,Tuscola County,6250 FULTON ST,MAYVILLE,MI,48744,9103,(989)843-6115,42,Rural: Distant,No,No,Yes,Yes,321,14.49,22.15,198,22,–
McBain High School,262331006016,Missaukee County,107 EAST MAPLE ST,MC BAIN,MI,49657,9672,(231)825-2412,42,Rural: Distant,No,No,No,†,283,13.87,20.4,102,14,–
