PopularName,SchoolId,Classification,ProperName,NickName,matches
st joseph owosso,5723,,st joseph,,"st charles community middlehigh school, st charles virtual school"
gateway middle school,5724,,gateway middle school,,"academy for business and technology high school, academy of the americas high school"
c a frost,5725,,c a frost,,"ca frost environmental science academy middle high school, elmer a knopf learning center"
forest hills eastern middle school,5726,,forest hills eastern middle school,,"actech high school, addison high school"
calhoun christian middle school ,5727,,calhoun christian middle school ,Cougars,"calhoun christian school, academy for business and technology high school"
oakview middle school,5728,,oakview middle school,,"oakridge middle school, academy for business and technology high school"
hazel park jhs,5729,,hazel park jhs,,"allen park community school, allen park high school"
clippert multicultural honors academy,5730,,clippert multicultural honors academy,,"54th street academy, academy 21"
cooper jhs,5731,,cooper jhs,,cooper correctional facility
duffield middle school,5732,,duffield middle school,,"academy for business and technology high school, academy of the americas high school"
elmdale fine & perf arts,5733,,elmdale fine & perf arts,,"arts and technology academy of pontiac, charlevoix montessori academy for the arts"
fisher magnet,5734,,fisher magnet upper academy,,dearborn magnet high school
langston hughes middle school,5735,,langston hughes middle school,,"academy for business and technology high school, actech high school"
phoenix academy,5736,,phoenix academy,,"port huron schools phoenix academy, academic and career education academy"
paul robeson malcolm x academy,5737,,paul robeson malcolm x academy,,"malc, 54th street academy"
sampson webber academy,5738,,sampson webber academy,,"academic and career education academy, academy 21"
mark twain middle school,5739,,mark twain middle school,,"academy for business and technology high school, alba school"
ojibwe charter school,5740,,ojibwe charter school 7/8,,"ojibwe charter school, academy for business and technology high school"
conner creek academy east,5741,,michigan collegiate ms,,"academy 21, academy for business and technology high school"
old redford middle school,5742,,old redford middle school,,"academy for business and technology high school, alba school"
greater life academy,5743,,greater life academy,,"academic and career education academy, academy 21"
unis school,5744,,unis middle school,,"academy for business and technology high school, academy of the americas high school"
st michael's lutheran school,5745,,st michael's lutheran school,,"academy for business and technology high school, actech high school"
bethune middle school,5746,,bethune elementary middle school,,"academy for business and technology high school, academy of the americas high school"
heilmann park middle school,5747,,heilmann park middle school,,"academy for business and technology high school, actech high school"
detroit midtown academy 7/8,5748,,detroit midtown academy 7/8,,"academy 21, academy for business and technology high school"
cherry hill school of performing arts,5749,,cherry hill school of performing arts,,"academy of science math and technology early college high sc, actech high school"
johnson aaa middle school,5750,,johnson aaa middle school,,"academy for business and technology high school, alba school"
lake fenton middle school,5752,,lake fenton middle school,,"academy for business and technology high school, alba school"
east martin christian middle school,5753,,east martin christian middle school,,"actech high school, addison high school"
star international academy jhs,5754,,star international academy jhs,,"international academy, star international academy"
covenant academy,5755,,covenant academy,,"kalamazoo covenant academy, muskegon covenant academy"
coldwater pansophia 6/7/8 ,5756,,pansophia academy 6/7/8,,beth jacob 1-8
flint central ms,5760,,central foundation academy,,"battle creek central high school, bay city central high school"
st paul lutheran,5761,,st paul lutheran,,"st charles community middlehigh school, st charles virtual school"
royal oak middle school,5763,,royal oak middle school,,"academy for business and technology high school, academy of the americas high school"
marshall academy 7/8,5764,,marshall academy 7/8,,"marshall academy, academic and career education academy"
northwood (oh),5765,,northwood hs,,
sandusky (oh),5766,,sandusky hs,,sandusky juniorsenior high school
hurley (wi),5767,,hurley hs,Midgets,
madison west (wi),5768,,madison west hs,,"academy west alternative education, david ellis academy west"
marinette st. thomas aquinas (wi),5769,,marinette st. thomas aquinas academy (wi),,"st clair high school, st johns high school"
eagle river northland pines (wi),5770,,eagle river northland pines (wi),Eagles,"bay pines center, flat river academy"
toledo ottawa hills (oh),5771,,ottawa hills hs,,lighthouse academy ottawa juvenile detention center
washburn (wi),5772,,washburn hs (wi),Castle Gaurds,
chicago heights marian catholic (il),5773,,marian catholic hs,,hackett catholic prep
sylvania southview (oh),5774,,southview hs,,
sylvania northview (oh),5775,,northview hs,,
oregon clay (oh),5776,,clay hs,,
napoleon (oh),5777,,napoleon hs,,napoleon high school
toledo whitmer (oh),5778,,whitmer hs,,
fostoria (oh),5779,,fostoria hs,,fostoria baptist academy
canton mckinley (oh),5780,,canton mckinley hs,,canton preparatory high school
south bend st joseph (in),5781,,south bend st joseph hs,,"capstone academy charter school sda south campus, st charles community middlehigh school"
florence (wi),5782,,florence hs,Bobcats,
north baltimore (oh),5783,,north baltimore hs,,"grosse pointe north high school, lighthouse academy north campus"
sault ste marie st mary's college (cn),5784,,st mary's college hs,,"academy of science math and technology early college high sc, airport middle college"
niagara northern elite (wi),5785,,niagara/goodman/pembine hs,Badgers,
howe military academy (in),5786,,howe military academy hs,,"academy 21, academy for business and technology high school"
columbus (wi),5787,,columbus hs,,
marinette (wi),5788,,marinette hs,Marines,
eau claire north (wi),5789,,eau claire north hs,,"grosse pointe north high school, lighthouse academy north campus"
antigo (wi),5790,,antigo hs,,
beloit memorial (wi),5791,,beloit memorial hs,,
wausaukee (wi),5792,,wausaukee hs,,
laporte la lumiere (in),5793,,la lumiere hs,,de la salle collegiate high school
south holland seton academy (il),5794,,seton academy hs,,"eton academy, 54th street academy"
sault ste marie white pines (cn),5795,,white pines hs,Wolverines,"bay pines center, jerry l white center"
sault ste marie sir james dunn (cn),5796,,sir james dunn hs,,sault area high school
sault ste marie bawating collegiate (cn),5797,,bawating collegiate hs,Braves,"sault area career center, sault area high school"
sault ste marie korah collegiate (cn),5798,,korah collegiate hs,Colts,"detroit collegiate preparatory high school at northwestern, sault area career center"
oak harbor (oh),5799,,oak harbor hs,,"benton harbor high school, burr oak virtual academy"
chicago heights mendel catholic (il),5800,,mendel catholic hs,,hackett catholic prep
chicago julian (il),5801,,julian hs,,
woodstock marian catholic central (il),5802,,marian central hs,,"central academy, central high school"
joliet east (il),5803,,joliet east hs,,"covenant house academy detroit east site, east china virtual academy"
milwaukee pius xi (wi),5804,,pius xi hs,,
chicago clemente (il),5805,,clemente hs,,
belleville (il),5806,,belleville hs,,belleville high school
lagrange prairie heights (in),5807,,prairie heights hs,,
hamilton (in),5808,,hamilton hs,,"arts academy in the woods, hamilton high school"
fremont (in),5809,,fremont hs,,"arts academy in the woods, fremont high school"
tontogany otsego (oh),5810,,otsego hs,,otsego west campus high school
whiting (in),5811,,whiting hs,,arts academy in the woods
indianapolis park tudor (in),5812,,park tudor hs,,"forest park school, progress park"
lake forest (il),5813,,lake forest (il),,"ackerson lake community education, central lake public schools"
union mills south central (in),5814,,south central hs,,"capstone academy charter school sda south campus, central academy"
south bend riley (in),5815,,riley hs,,"capstone academy charter school sda south campus, grosse pointe south high school"
fondalac hope charter (wi),5816,,hope charter hs,,"capstone academy charter school sda south campus, capstone academy charter schoolmayfield"
merrillville andrean (in),5817,,andrean hs,,
laporte (in),5818,,laporte hs,,arts academy in the woods
mishawaka marian (in),5819,,mishawaka marian hs,,
warsaw (in),5820,,warsaw hs,,arts academy in the woods
greenwood center grove (in),5821,,center grove hs,,"allegan county area technical and education center, apollo center"
fort wayne south side (in),5822,,south side hs,,"capstone academy charter school sda south campus, way south haven"
rogers (in),5823,,rogers hs,,"arts academy in the woods, rogers city high school"
mayville (oh),5824,,mayville hs,,mayville middle high school
cleveland beachwood (oh),5825,,beachwood hs,,
edgar (wi),5826,,edgar hs,,
garfield heights trinity (oh),5827,,trinity hs,,
pittsburgh shady side academy (pa),5828,,shady side academy hs,,"54th street academy, academy 21"
gates mills hawken (oh),5829,,hawken hs,,
saltsburgh kiski (pa),5830,,kiski hs,,
massillon perry (oh),5831,,perry hs,,
defiance ayersville (oh),5832,,ayersville hs,,
youngstown boardman (oh),5833,,boardman hs,,
bascom hopewell-louden (oh),5834,,hopewell-louden hs,,
abbotsford (wi),5835,,abbotsford hs,,
metamora evergreen (oh),5836,,evergreen hs,,
liberty center (oh),5837,,liberty center hs,,"airport center for education, allegan county area technical and education center"
toledo st john's jesuit (oh),5838,,st john's hs,,"virtual learning academyof st clair county, st mary school"
attica senica east (oh),5839,,senica east hs,,"covenant house academy detroit east site, east english village preparatory academy"
indianapolis decatur central (in),5840,,decatur central hs,,"central academy, central high school"
findlay (oh),5841,,findlay hs,,
waterloo bluevale (cn),5842,,bluevale hs,,
dolton thornridge (il),5843,,thornridge hs,,
elyria (oh),5844,,elyria hs,,
barberton (oh),5845,,barberton hs,,
lorain admiral king (oh),5846,,admiral king hs,,martin luther king jr senior high school
fremont ross (oh),5847,,ross hs,,
gibsonburg (oh),5848,,gibsonburg hs,,
west unity hilltop (oh),5849,,hilltop hs,,"academy west alternative education, kalamazoo resa west campusyoung adult program"
delphos st john's (oh),5850,,st john's hs,,"john m schultz educational campus, st charles community middlehigh school"
bowling green (oh),5851,,bowling green hs,,
willard (oh),5852,,willard hs,,
tiffin columbian (oh),5853,,columbian hs,,
columbus (oh),5854,,columbus hs,,
toledo cm woodward (oh),5855,,cm woodward hs,,
lima catholic central (oh),5856,,catholic central hs,,"central academy, central michigan correctional facility"
jacksonville florida school for the deaf (fl),5857,,florida school for the deaf,,"actech high school, ad johnston jrsr high school"
toledo st francis de sales (oh),5858,,st francis de sales hs,,"francis reh psa, st clair high school"
newark (oh),5859,,newark hs,,
sheboygan lutheran (wi),5860,,sheboygan lutheran hs,,huron valley lutheran high school
toledo start (oh),5861,,start hs,,
oneida (wi),5862,,oneida hs,Thunderhawks,
london regina mundi college (cn),5863,,regina mundi college hs,,"academy of science math and technology early college high sc, sigma academy for leadership and early middle college"
defiance (oh),5864,,defiance hs,,
wauseon (oh),5865,,wauseon hs,,
tulsa union (ok),5866,,union hs,,"chesaning union high school, chesaning union schools alternative education"
toledo mr waite (oh),5867,,mr waite hs,,
montpelier (oh),5868,,montpelier hs,,
toledo rogers (oh),5869,,rogers hs,,
marion local (oh),5870,,marion local hs,,"jackson isd local based special education programs, marion d crouse instr center"
oregon cardinal stritch (oh),5871,,cardinal stritch hs,,
whitehouse anthony wayne (oh),5872,,anthony wayne hs,,
ontario (oh),5873,,ontario hs,,
holland springfield (oh),5874,,springfield hs,,
millbury lake (oh),5875,,lake hs,,"ackerson lake community education, central lake public schools"
perrysburg (oh),5876,,perrysburg hs,,
rossford (oh),5877,,rossford hs,,
maumee (oh),5878,,maumee hs,,
canton glenoak (oh),5879,,glenoak hs,,canton preparatory high school
cincinnati elder (oh),5880,,elder hs,,
cleveland collinwood (oh),5881,,collinwood hs,,
louisville (oh),5882,,louisville hs,,
griffith (in),5883,,griffith hs,,arts academy in the woods
north canton hoover (oh),5884,,hoover hs,,"north adamsjerome middlehigh school, north central area senior high school"
massillon washington (oh),5885,,washington hs,,
van buren (oh),5886,,van buren hs,,"atherton vern van y educational center, van hoosen middle school"
columbus st charles prep (oh),5887,,st  charles prep hs,,"virtual learning academyof st clair county, st mary school"
holgate (oh),5888,,holgate (oh),,
mequon homestead (wi),5889,,homestead hs,Highlanders,
coleman (wi),5890,,coleman hs,,coleman juniorsenior high school
lena/marinette (wi),5891,,lena/marinette catholic central hs,,
suring (wi),5892,,suring hs,,
crivitz (wi),5893,,crivitz hs,,
peshtigo (wi),5894,,peshtigo hs,,
gillett (wi),5895,,gillett hs,,
port wing south shore (wi),5896,,south shore hs,,"capstone academy charter school sda south campus, way south haven"
park falls (wi),5897,,park falls/butternut/glidden/mercer hs,,"allen park community school, allen park high school"
mellen (wi),5898,,mellen hs,,
bedford st peter chanel (oh),5899,,st. peter chanel hs,,"virtual learning academyof st clair county, st mary school"
janesville-craig (wi),5900,,janesville-craig hs,,
madison lafollette (wi),5901,,madison lafollette hs,,madison school
sun praire (wi),5902,,sun praire hs,,
madison memorial (wi),5903,,madison memorial hs,,madison preparatory high school
madison east (wi),5904,,madison east hs,,"covenant house academy detroit east site, east china virtual academy"
carmel (in),5905,,carmel hs,,arts academy in the woods
janesville-parker (wi),5906,,janesville-parker hs,,
fondulac st mary's springs (wi),5907,,st mary's springs hs (wi),,"st clair high school, st johns high school"
oshkosh lourdes (wi),5908,,lourdes hs,,
menasha (wi),5909,,menasha hs (wi),,
appleton xavier (wi),5910,,xavier hs,,
ripon (wi),5911,,ripon hs,,
columbus brookhaven (oh),5912,,brookhaven hs,,
appleton fox valley lutheran (wi),5913,,fox valley lutheran hs,,"huron valley womens, river valley academy"
indianapolis franklin central (in),5914,,franklin central hs,,"central academy, central high school"
christopher (il),5915,,christopher hs,,
tomahawk (wi),5916,,tomahawk hs,Hatchets,
medford (wi),5917,,medford hs (wi),Raiders,
phillips (wi),5918,,phillips hs,,
ashland (wi),5919,,ashland hs,,
whitehall yearling (oh),5920,,whitehall yearling hs,,
lacrosse logan (wi),5921,,lacrosse logan hs,,
schofield dc everest (wi),5922,,dc everest hs,,everest academy
marshfield (wi),5923,,marshfield hs,,
merrill (wi),5924,,merrill hs,,"link learning merrill, merrill high school"
wausau west (wi),5925,,wausau west hs,,"academy west alternative education, david ellis academy west"
rhinelander (wi),5926,,rhinelander hs,,
wausau east (wi),5928,,wausau east hs,,"covenant house academy detroit east site, east china virtual academy"
stevens point (wi),5929,,stevens point hs,,
superior (wi),5930,,superior hs,,superior central school
chippewa falls (wi),5931,,chippewa falls hs,,"chippewa correctional facility, chippewa valley adult and mohegan alt educ"
menomonie (wi),5932,,menomonie hs,,
eau claire memorial (wi),5933,,eau claire memorial hs,,way eau claire
lacrosse central (wi),5934,,lacross central hs,,"battle creek central high school, central michigan correctional facility"
depere west de pere (wi),5935,,west de pere hs,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west"
green bay bay port (wi),5936,,bay port hs,,port huron schools phoenix academy
clintonville (wi),5937,,clintonville hs,,
de pere (wi),5938,,de pere hs,,"big bay de noc school, de la salle collegiate high school"
green bay ashwaubenon (wi),5939,,ashwaubenon hs,,bay pines center
new london (wi),5940,,new london hs,,"new beginnings alternative high school, new buffalo senior high school"
shawano (wi),5941,,shawano hs,,
pulaski (wi),5942,,pulaski hs,,
seymour (wi),5943,,seymour hs,,
spring lake park (mn),5944,,spring lake park hs,,"ackerson lake community education, chandler park academy high school"
milwaukee thomas more (wi),5945,,thomas more hs,,
roseville (mn),5946,,roseville hs,,roseville high school
wisconsin rapids assumption (wi),5947,,assumption hs,,
milan edison (oh),5948,,edison hs,,"edison, detroit edison public school academy high school"
amherst steele-amherst (oh),5949,,steele-amherst hs,,
orrville (oh),5950,,orrville hs,,
martinsville (il),5951,,martinsville hs,,
stevens point pacelli (wi),5952,,pacelli hs,,
white lake-elcho (wi),5953,,white lake/elcho hs,,"ackerson lake community education, houghton lake community education"
crandon (wi),5954,,crandon hs,,
rochester-john marshall (mn),5955,,john marshall  hs,,"marshall academy, rochester community schools virtual campus"
laona-wabeno (wi),5956,,laona/wabeno hs,,
union city (in),5957,,union city hs,,"arts academy in the woods, bay city academy farragut campus"
three lakes (wi),5958,,three lakes,,"great lakes bay early college, great lakes learning academy mshs"
sault ste marie ja turner (cn),5959,,ja turner hs,,
maple heights (oh),5960,,maple heights hs,,"dearborn heights virtual academy, godwin heights learning center"
sault ste marie streetsville (cn),5961,,streetsville hs,,
sault ste marie brampton (cn),5962,,brampton hs,,
chicago st rita (il),5963,,st rita hs,,"st charles community middlehigh school, st clair county intervention academy"
evanston (il),5964,,evanston hs,,
chicago loyola (il),5965,,chicago loyola (il),,
fenwick (il),5966,,fenwick hs,,
mendel (il),5967,,mendel hs,,
chicago delasalle (il),5968,,delasalle hs,,
chicago leo (il),5969,,leo hs,,way academy chicago site
niantic  sangamon valley (il),5970,,sangamon valley hs,,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education"
mishawaka (in),5971,,mishawaka hs,Cavemen,arts academy in the woods
fort wayne northside (in),5972,,northside hs,,
lansing thorton fractional south (il),5973,,thorton fractional south hs,,"east lansing high school, south haven high school"
gary west side leadership academy (in),5974,,gary west side leadership academy (in),,"54th street academy, academy 21"
indianapolis ritter (in),5975,,ritter hs,,
fort wayne elmhurst (in),5976,,elmhurst hs,,
gary roosevelt (in),5977,,gary roosevelt hs,,invest roosevelt alternative high school
hammond (in),5978,,hammond hs,,arts academy in the woods
paulding (oh),5979,,paulding hs,,
columbus marion-franklin (oh),5980,,marion-franklin hs,,marion high school
mcguffey upper scioto valley (oh),5981,,upper scioto valley hs,,"huron valley womens, river valley academy"
ada (oh),5982,,ada hs,,
lima perry (oh),5983,,perry hs,,perry learning center
lafayette allen east (oh),5984,,allen east hs,,"covenant house academy detroit east site, east english village preparatory academy"
spencerville (oh),5985,,spencerville hs,,
delphos jefferson (oh),5986,,jefferson hs,,
minster (oh),5987,,minster hs,,
waynesfield-goshen (oh),5988,,waynesfield-goshen hs,,
butler eastside (in),5989,,eastside hs,,
lagrange lakeland (in),5990,,lakeland hs,,
albion central noble (in),5991,,central noble hs,,"central academy, central michigan correctional facility"
waupaca (wi),5992,,waupaca hs,,
ligonier west noble (in),5993,,west noble hs,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west"
racine case (wi),5994,,racine case hs,,
cudahy (wi),5995,,cudahy hs,,
chicago st francis de sales (il),5996,,st francis de sales hs,,"francis reh psa, st clair high school"
portage (wi),5997,,portage hs,,"portage central high school, portage community high school"
monon north white (in),5998,,north white hs,,"north adamsjerome middlehigh school, north central area senior high school"
knox (in),5999,,knox hs,,arts academy in the woods
breman (in),6000,,breman hs,,arts academy in the woods
hobart river forest (in),6001,,river forest hs,Ignots,"black river public school middlehigh, grand river preparatory high school"
culver (in),6002,,culver hs,,arts academy in the woods
bourbon triton (in),6003,,triton hs,,
wolcott tri county (in),6004,,tri county hs,,"allegan county area technical and education center, alternative educational academy of iosco county"
walkterton john glenn (in),6005,,john glenn hs,,
waynesfield (oh),6006,,waynesfield hs,,
columbus grove (oh),6007,,columbus grove hs,,"lincolnking adams young school grove campus, maple grove alternative high school"
lakeside danbury (oh),6008,,danbury hs,,
connor (ky),6009,,connor hs,,
astabula sts. john and paul (oh),6010,,sts john and paul hs,,"academy for business and technology high school, academy of science math and technology early college high sc"
gates mills gilmour academy (oh),6011,,gilmour academy,,"54th street academy, academy 21"
cleveland south (oh),6012,,south hs,,"capstone academy charter school sda south campus, grosse pointe south high school"
strongsville (oh),6013,,strongsville hs,,
lakewood (oh),6014,,lakewood hs,,lakewood high school
lakewood st edward (oh),6015,,st edward hs,,"st charles community middlehigh school, st clair county intervention academy"
cleveland john hay (oh),6016,,john hay hs,,john m schultz educational campus
mentor (oh),6017,,mentor (oh),,
cokato--dassel-cokato (mn),6018,,dassel-cokato hs,,
parma padua franciscan (oh),6019,,padua franciscan hs,,
winnetka north shore country day (il),6020,,north shore country day hs,,"flex high north flint, high school north"
culver military academy (in),6021,,culver military academy,,"academy 21, academy for business and technology high school"
south bend clay (in),6022,,south bend clay hs,,"capstone academy charter school sda south campus, grosse pointe south high school"
elkhart memorial (in),6023,,elkhart memorial hs,Chargers,
munster (in),6024,,munster hs,,arts academy in the woods
south bend washington (in),6025,,south bend washington hs,,"capstone academy charter school sda south campus, way south haven"
new prairie (in),6026,,new prairie hs,,"arts academy in the woods, new beginnings alternative high school"
south bend adams (in),6027,,south bend adams hs,,"capstone academy charter school sda south campus, grosse pointe south high school"
logansport (in),6028,,logansport hs,,arts academy in the woods
moose lake (mn),6029,,moose lake hs,,"ackerson lake community education, bear lake high school"
toledo libbey (oh),6030,,libbey hs,,
toledo woodward (oh),6031,,woodward hs,,
toledo scott (oh),6032,,scott hs,,
toledo bowsher (oh),6033,,bowsher hs,,
warrensville heights (oh),6034,,warrensville heights hs,,link learning grand rapids alger heights
cleveland benedictine (oh),6035,,benedictine hs,,
ottawa glandorf (oh),6036,,glandorf hs,,"lighthouse academy ottawa juvenile detention center, west ottawa high school campus"
cleveland elyria catholic (oh),6037,,elyria catholic hs,,
plainfield tri-county (wi),6038,,plainfield tri-county (wi),,"allegan county area technical and education center, alternative educational academy of iosco county"
lyndhurst brush (oh),6039,,brush hs,,
wauwatosa east (wi),6040,,wauwatosa east hs,,"covenant house academy detroit east site, east english village preparatory academy"
grove city hs (oh),6041,,grove city hs (oh),,"bay city academy farragut campus, bay city adult educationctp"
colby (wi),6042,,colby hs,,
maple northwestern (wi),6043,,northwestern hs,,"detroit collegiate preparatory high school at northwestern, maple grove alternative high school"
mission viejo (ca),6044,,mission viejo hs,,ca frost environmental science academy middle high school
wittenberg-birnamwood (wi),6045,,wittenberg-birnamwood hs,,
indiana school for the deaf (in),6046,,indiana school for the deaf,,"academy for business and technology high school, actech high school"
sault ste marie east-west (cn),6047,,east-west hs,,"east lee campus, kalamazoo resa west campusyoung adult program"
wisconsin school for the deaf (wi),6048,,wisconsin school for the deaf,,"actech high school, addison high school"
edinburgh (in),6049,,edinburgh hs,,arts academy in the woods
eureka (il),6050,,eureka hs,,
wausau newman catholic (wi),6051,,wausau newman catholic (wi),,
wateska (il),6052,,watseka hs,,
covington (oh),6053,,covington hs,,
painesville riverside (oh),6054,,riverside hs,,
west bend east (wi),6055,,west bend east,,"academy west alternative education, covenant house academy detroit east site"
south holland thornwood (il),6056,,thornwood hs,,"capstone academy charter school sda south campus, way south haven"
wauwatosa west (wi),6057,,wauwatosa west hs,,"academy west alternative education, hope academy of west michigan"
kettering fairmont (oh),6058,,kettering fairmont hs,,
milwaukee riverside (wi),6059,,milwaukee riverside hs,,
park hills covington catholic (ky),6060,,covington catholic hs,,"allen park high school, forest park school"
whitefish bay (wi),6061,,whitefish bay hs,,"bay city academy farragut campus, bay city adult educationctp"
milwaukee juneau (wi),6062,,milwaukee juneau hs,,
shorewood-messmer (wi),6063,,shorewood/messmer hs,,
hicksville (oh),6064,,hicksville hs,,
edon (oh),6065,,edon northwest hs,,
defiance tinora (oh),6066,,tinora hs,,
fairview park fairview (oh),6067,,fairview hs,,"fairview school, progress park"
haviland wayne trace (oh),6068,,wayne trace hs,,ace
edgerton (oh),6069,,edgerton hs,,
lake station edison (in),6070,,lake station edison hs,,"edison, detroit edison public school academy high school"
middlebury northridge (in),6071,,northridge hs,,
goshen (in),6072,,goshen hs,,arts academy in the woods
nappanee northwood (in),6073,,northwood hs,,
angola (in),6074,,angola hs,,arts academy in the woods
goshen fairfield (in),6075,,fairfield hs,,
kendallville east noble (in),6076,,east noble hs,,"east lee campus, way east jackson"
syracuse wawasee (in),6077,,wawasee hs,,
leo (in),6078,,leo hs,,arts academy in the woods
milwaukee bradley tech (wi),6079,,milwaukee bradley tech hs,Trojans,"lisd tech center, van buren tech"
cincinnati la salle (oh),6080,,la salle hs,,
cleveland villa angela-st joseph (oh),6081,,villa angela-st joseph hs,,"link learning st louis, st clair high school"
cleveland east (oh),6082,,east hs,,"covenant house academy detroit east site, east english village preparatory academy"
muskego (wi),6083,,muskego hs,,
greenfield (wi),6084,,greenfield hs,,greenfield school
greendale (wi),6085,,greendale hs,,
wales kettle moraine (wi),6086,,kettle moraine hs,,
kettering archbishop alter (oh),6087,,archbishop alter hs,,
oconto (wi),6088,,oconto hs,,
sandusky perkins (oh),6089,,perkins hs,,sandusky juniorsenior high school
upper sandusky (oh),6090,,upper sandusky hs,,sandusky juniorsenior high school
cleveland john f kennedy (oh),6091,,john f kennedy hs,,kennedy center
brussels southern door (wi),6092,,southern door hs,,southern michigan center for science industry smcsi
oconto falls (wi),6093,,oconto falls hs,,boyne falls public school
kewaunee (wi),6094,,kewaunee hs,,
luxemburg-casco (wi),6095,,luxemburg-casco hs,,
mischicot (wi),6096,,mischicot hs,,
algoma (wi),6097,,algoma hs,,algoma christian school
sturgeon bay (wi),6098,,sturgeon bay hs,,"bay city academy farragut campus, bay city adult educationctp"
rockford christian life (il),6099,,rockford christian life hs,,life skills center
miamisburg (oh),6100,,miamisburg hs,,
dayton patterson (oh),6101,,patterson hs,,
newbury (oh),6102,,newbury hs,,
dayton belmont (oh),6103,,belmont hs,,
cincinnati purcell marian (oh),6104,,purcell marian hs,,
dayton colonel white (oh),6105,,colonel white hs,,
dayton chaminade-julienne (oh),6106,,chaminade-julienne hs,,
la grange (il),6107,,la grange hs,,de la salle collegiate high school
chicago weber (il),6108,,weber hs,,
canton timken (oh),6109,,timken hs,,canton preparatory high school
jackson (oh),6110,,jackson hs,,"east jackson secondary school, jackson area career center"
alliance (oh),6111,,alliance hs,,"early college alliance, washtenaw alliance for virtual education"
canton south (oh),6112,,canton south hs,,"canton preparatory high school, capstone academy charter school sda south campus"
duluth east (mn),6113,,duluth east hs,,"covenant house academy detroit east site, east china virtual academy"
hayward (wi),6114,,hayward/laccourte oreilles hs,,
mosinee (wi),6115,,mosinee hs,,
gary wallace (in),6116,,gary lew wallace hs,,"ace, arts academy in the woods"
fulton caston (in),6117,,caston hs,,fulton alternative education
wimonac community (in),6118,,wimonac community hs,,"ackerson lake community education, cedar street community and family center"
avon (oh),6119,,avon hs,,
warren champion (oh),6120,,champion hs,,"warren consolidated community high school, warren woods education center"
nekoosa (wi),6121,,nekoosa hs,,
cincinnati western hills (oh),6122,,western hills hs,,
cincinnati st  xavier (oh),6123,,st  xavier hs,,"st charles community middlehigh school, virtual learning academyof st clair county"
cincinnati princeton (oh),6124,,princeton hs,,
hamilton (oh),6125,,hamilton hs,,"hamilton high school, hamilton middle school"
fairfield (oh),6126,,fairfield hs,,
middletown (oh),6127,,middletown hs,,
lima (oh),6128,,lima hs,,
hamler patrick henry (oh),6129,,patrick henry hs,,henry ford early collegeadvanced manufacturing
buffalo st joseph's collegiate (ny),6130,,st joseph's collegiate hs,,"detroit collegiate preparatory high school at northwestern, link learning st louis"
parma normandy (oh),6131,,normandy hs,,
erie cathedral prep (pa),6132,,erie cathedral prep hs,,dearborn newcomer college prep academy
youngstown cardinal mooney (oh),6133,,cardinal mooney hs,,
canton central catholic (oh),6134,,canton central catholic hs,,"canton high school, central academy"
youngstown austintown fitch (oh),6135,,austintown fitch hs,,
albion (ny),6136,,albion hs,,
tonawanda cardinal o'hara (ny),6137,,cardinal o'hara hs,,
athol springs st francis (ny),6138,,st francis hs,,"francis reh psa, virtual learning academyof st clair county"
grand island (ny),6139,,grand island hs,,"beaver island community school, covenant house academy grand rapids"
plainfield (in),6140,,plainfield hs,,arts academy in the woods
buffalo nichols (ny),6141,,nichols hs,,new buffalo senior high school
buffalo bishop timon (ny),6142,,bishop timon hs,,
buffalo canisius (ny),6143,,canisius hs,,new buffalo senior high school
chetek-weyerhaeuser (wi),6144,,chetek-weyerhaeuser (wi),,
mason (oh),6145,,mason hs,,"mason county central hs, mason county eastern junior highhigh school"
cumberland (wi),6146,,cumberland hs,,
ladysmith (wi),6147,,ladysmith hs,,
spooner (wi),6148,,spooner hs,,
oberlin firelands (oh),6149,,firelands hs,,
marion (wi),6150,,marion (wi),,"marion d crouse instr center, marion high school"
iola-scandinavia (wi),6151,,iola-scandinavia hs,,
st paul mounds view (mn),6152,,mounds view hs,,"center for success at pleasant view, st charles community middlehigh school"
amherst (wi),6153,,amherst hs,,
bonduel (wi),6154,,bonduel hs,,
aurora christian (il),6155,,aurora christian hs,,"cadillac heritage christian school, community baptist christian school"
shiocton (wi),6156,,shiocton hs,,
centerville (oh),6157,,centerville hs,,
cincinnati hughes center (oh),6158,,hughes center hs,,"allegan county area technical and education center, apollo center"
liberty twp lakota east (oh),6159,,lakota east hs,,"east lee campus, way east jackson"
columbus upper arlington (oh),6160,,upper arlington hs,,
wild rose (wi),6161,,wild rose hs,,jalen rose leadership academy
port edwards (wi),6162,,port edwards hs,,"port huron northern high school, port huron schools phoenix academy"
almond-bancroft (wi),6163,,almond-bancroft hs,,
burlington central (il),6164,,central high school,,"central michigan correctional facility, central montcalm middle high school"
cincinnati moeller (oh),6165,,cincinnati moeller (oh),,
pittsburgh peabody (pa),6166,,peabody hs,,
vandergrift kiski area (pa),6167,,kiski area hs,,"allegan county area technical and education center, dollar baytamarack city area k12 school"
mercersburg (pa),6168,,mercersburg hs,,
windsor forester (cn),6169,,forester hs,,
amherstburg general amherst (cn),6170,,general amherst hs,,
belle river (cn),6171,,belle river hs,,"black river public school middlehigh, grand river preparatory high school"
