MHSAA_PopularName,SchoolId,Classification,MHSAA_Proper,NickName,NCES_Name,NCES_School_ID
flint central ms,5760,,Central Foundation Academy,,"battle creek central high school, bay city central high school",
st paul lutheran,5761,,St Paul Lutheran,,"st charles community middlehigh school, st charles virtual school",
royal oak middle school,5763,,Royal Oak Middle School,,"academy for business and technology high school, academy of the americas high school",
marshall academy 7/8,5764,,Marshall Academy 7/8,,"marshall academy, academic and career education academy",
northwood (oh),5765,,Northwood HS,,,
sandusky (oh),5766,,Sandusky HS,,sandusky juniorsenior high school,
hurley (wi),5767,,Hurley HS,Midgets,,
madison west (wi),5768,,Madison West HS,,"academy west alternative education, david ellis academy west",
marinette st. thomas aquinas (wi),5769,,Marinette St. Thomas Aquinas Academy (WI),,"st clair high school, st johns high school",
eagle river northland pines (wi),5770,,Eagle River Northland Pines (WI),Eagles,"bay pines center, flat river academy",
toledo ottawa hills (oh),5771,,Ottawa Hills HS,,lighthouse academy ottawa juvenile detention center,
washburn (wi),5772,,Washburn HS (WI),Castle Gaurds,,
chicago heights marian catholic (il),5773,,Marian Catholic HS,,hackett catholic prep,00639636
sylvania southview (oh),5774,,Southview HS,,,
sylvania northview (oh),5775,,Northview HS,,,
oregon clay (oh),5776,,Clay HS,,,
napoleon (oh),5777,,Napoleon HS,,napoleon high school,
toledo whitmer (oh),5778,,Whitmer HS,,,
fostoria (oh),5779,,Fostoria HS,,fostoria baptist academy,A1502002
canton mckinley (oh),5780,,Canton McKinley HS,,canton preparatory high school,
south bend st joseph (in),5781,,South Bend St Joseph HS,,"capstone academy charter school sda south campus, st charles community middlehigh school",
florence (wi),5782,,Florence HS,Bobcats,,
north baltimore (oh),5783,,North Baltimore HS,,"grosse pointe north high school, lighthouse academy north campus",
sault ste marie st mary's college (cn),5784,,St Mary's College HS,,"academy of science math and technology early college high sc, airport middle college",
niagara northern elite (wi),5785,,Niagara/Goodman/Pembine HS,Badgers,,
howe military academy (in),5786,,Howe Military Academy HS,,"academy 21, academy for business and technology high school",
columbus (wi),5787,,Columbus HS,,,
marinette (wi),5788,,Marinette HS,Marines,,
eau claire north (wi),5789,,Eau Claire North HS,,"grosse pointe north high school, lighthouse academy north campus",
antigo (wi),5790,,Antigo HS,,,
beloit memorial (wi),5791,,Beloit Memorial HS,,,
wausaukee (wi),5792,,Wausaukee HS,,,
laporte la lumiere (in),5793,,La Lumiere HS,,de la salle collegiate high school,00638133
south holland seton academy (il),5794,,Seton Academy HS,,"eton academy, 54th street academy",
sault ste marie white pines (cn),5795,,White Pines HS,Wolverines,"bay pines center, jerry l white center",
sault ste marie sir james dunn (cn),5796,,Sir James Dunn HS,,sault area high school,
sault ste marie bawating collegiate (cn),5797,,Bawating Collegiate HS,Braves,"sault area career center, sault area high school",
sault ste marie korah collegiate (cn),5798,,Korah Collegiate HS,Colts,"detroit collegiate preparatory high school at northwestern, sault area career center",
oak harbor (oh),5799,,Oak Harbor HS,,"benton harbor high school, burr oak virtual academy",
chicago heights mendel catholic (il),5800,,Mendel Catholic HS,,hackett catholic prep,00639636
chicago julian (il),5801,,Julian HS,,,
woodstock marian catholic central (il),5802,,Marian Central HS,,"central academy, central high school",
joliet east (il),5803,,Joliet East HS,,"covenant house academy detroit east site, east china virtual academy",
milwaukee pius xi (wi),5804,,Pius Xi HS,,,
chicago clemente (il),5805,,Clemente HS,,,
belleville (il),5806,,Belleville HS,,belleville high school,
lagrange prairie heights (in),5807,,Prairie Heights HS,,,
hamilton (in),5808,,Hamilton HS,,"arts academy in the woods, hamilton high school",
fremont (in),5809,,Fremont HS,,"arts academy in the woods, fremont high school",
tontogany otsego (oh),5810,,Otsego HS,,otsego west campus high school,
whiting (in),5811,,Whiting HS,,arts academy in the woods,
indianapolis park tudor (in),5812,,Park Tudor HS,,"forest park school, progress park",
lake forest (il),5813,,Lake Forest (IL),,"ackerson lake community education, central lake public schools",
union mills south central (in),5814,,South Central HS,,"capstone academy charter school sda south campus, central academy",
south bend riley (in),5815,,Riley HS,,"capstone academy charter school sda south campus, grosse pointe south high school",
fondalac hope charter (wi),5816,,Hope Charter HS,,"capstone academy charter school sda south campus, capstone academy charter schoolmayfield",
merrillville andrean (in),5817,,Andrean HS,,,
laporte (in),5818,,Laporte HS,,arts academy in the woods,
mishawaka marian (in),5819,,Mishawaka Marian HS,,,
warsaw (in),5820,,Warsaw HS,,arts academy in the woods,
greenwood center grove (in),5821,,Center Grove HS,,"allegan county area technical and education center, apollo center",
fort wayne south side (in),5822,,South Side HS,,"capstone academy charter school sda south campus, way south haven",
rogers (in),5823,,Rogers HS,,"arts academy in the woods, rogers city high school",
mayville (oh),5824,,Mayville HS,,mayville middle high school,
cleveland beachwood (oh),5825,,Beachwood HS,,,
edgar (wi),5826,,Edgar HS,,,
garfield heights trinity (oh),5827,,Trinity HS,,,
pittsburgh shady side academy (pa),5828,,Shady Side Academy HS,,"54th street academy, academy 21",
gates mills hawken (oh),5829,,Hawken HS,,,
saltsburgh kiski (pa),5830,,Kiski HS,,,
massillon perry (oh),5831,,Perry HS,,,
defiance ayersville (oh),5832,,Ayersville HS,,,
youngstown boardman (oh),5833,,Boardman HS,,,
bascom hopewell-louden (oh),5834,,Hopewell-Louden HS,,,
abbotsford (wi),5835,,Abbotsford HS,,,
metamora evergreen (oh),5836,,Evergreen HS,,,
liberty center (oh),5837,,Liberty Center HS,,"airport center for education, allegan county area technical and education center",
toledo st john's jesuit (oh),5838,,St John's HS,,"virtual learning academyof st clair county, st mary school",
attica senica east (oh),5839,,Senica East HS,,"covenant house academy detroit east site, east english village preparatory academy",
indianapolis decatur central (in),5840,,Decatur Central HS,,"central academy, central high school",
findlay (oh),5841,,Findlay HS,,,
waterloo bluevale (cn),5842,,Bluevale HS,,,
dolton thornridge (il),5843,,Thornridge HS,,,
elyria (oh),5844,,Elyria HS,,,
barberton (oh),5845,,Barberton HS,,,
lorain admiral king (oh),5846,,Admiral King HS,,martin luther king jr senior high school,
fremont ross (oh),5847,,Ross HS,,,
gibsonburg (oh),5848,,Gibsonburg HS,,,
west unity hilltop (oh),5849,,Hilltop HS,,"academy west alternative education, kalamazoo resa west campusyoung adult program",
delphos st john's (oh),5850,,St John's HS,,"john m schultz educational campus, st charles community middlehigh school",
bowling green (oh),5851,,Bowling Green HS,,,
willard (oh),5852,,Willard HS,,,
tiffin columbian (oh),5853,,Columbian HS,,,
columbus (oh),5854,,Columbus HS,,,
toledo cm woodward (oh),5855,,CM Woodward HS,,,
lima catholic central (oh),5856,,Catholic Central HS,,"central academy, central michigan correctional facility",
jacksonville florida school for the deaf (fl),5857,,Florida School for the Deaf,,"actech high school, ad johnston jrsr high school",
toledo st francis de sales (oh),5858,,St Francis De Sales HS,,"francis reh psa, st clair high school",
newark (oh),5859,,Newark HS,,,
sheboygan lutheran (wi),5860,,Sheboygan Lutheran HS,,huron valley lutheran high school,00644409
toledo start (oh),5861,,Start HS,,,
oneida (wi),5862,,Oneida HS,Thunderhawks,,
london regina mundi college (cn),5863,,Regina Mundi College HS,,"academy of science math and technology early college high sc, sigma academy for leadership and early middle college",
defiance (oh),5864,,Defiance HS,,,
wauseon (oh),5865,,Wauseon HS,,,
tulsa union (ok),5866,,Union HS,,"chesaning union high school, chesaning union schools alternative education",
toledo mr waite (oh),5867,,MR Waite HS,,,
montpelier (oh),5868,,Montpelier HS,,,
toledo rogers (oh),5869,,Rogers HS,,,
marion local (oh),5870,,Marion Local HS,,"jackson isd local based special education programs, marion d crouse instr center",
oregon cardinal stritch (oh),5871,,Cardinal Stritch HS,,,
whitehouse anthony wayne (oh),5872,,Anthony Wayne HS,,,
ontario (oh),5873,,Ontario HS,,,
holland springfield (oh),5874,,Springfield HS,,,
millbury lake (oh),5875,,Lake HS,,"ackerson lake community education, central lake public schools",
perrysburg (oh),5876,,Perrysburg HS,,,
rossford (oh),5877,,Rossford HS,,,
maumee (oh),5878,,Maumee HS,,,
canton glenoak (oh),5879,,Glenoak HS,,canton preparatory high school,
cincinnati elder (oh),5880,,Elder HS,,,
cleveland collinwood (oh),5881,,Collinwood HS,,,
louisville (oh),5882,,Louisville HS,,,
griffith (in),5883,,Griffith HS,,arts academy in the woods,
north canton hoover (oh),5884,,Hoover HS,,"north adamsjerome middlehigh school, north central area senior high school",
massillon washington (oh),5885,,Washington HS,,,
van buren (oh),5886,,Van Buren HS,,"atherton vern van y educational center, van hoosen middle school",
columbus st charles prep (oh),5887,,St  Charles Prep HS,,"virtual learning academyof st clair county, st mary school",
holgate (oh),5888,,Holgate (OH),,,
mequon homestead (wi),5889,,Homestead HS,Highlanders,,
coleman (wi),5890,,Coleman HS,,coleman juniorsenior high school,
lena/marinette (wi),5891,,Lena/Marinette Catholic Central HS,,,
suring (wi),5892,,Suring HS,,,
crivitz (wi),5893,,Crivitz HS,,,
peshtigo (wi),5894,,Peshtigo HS,,,
gillett (wi),5895,,Gillett HS,,,
port wing south shore (wi),5896,,South Shore HS,,"capstone academy charter school sda south campus, way south haven",
park falls (wi),5897,,Park Falls/Butternut/Glidden/Mercer HS,,"allen park community school, allen park high school",
mellen (wi),5898,,Mellen HS,,,
bedford st peter chanel (oh),5899,,St. Peter Chanel HS,,"virtual learning academyof st clair county, st mary school",
janesville-craig (wi),5900,,Janesville-Craig HS,,,
madison lafollette (wi),5901,,Madison Lafollette HS,,madison school,
sun praire (wi),5902,,Sun Praire HS,,,
madison memorial (wi),5903,,Madison Memorial HS,,madison preparatory high school,
madison east (wi),5904,,Madison East HS,,"covenant house academy detroit east site, east china virtual academy",
carmel (in),5905,,Carmel HS,,arts academy in the woods,
janesville-parker (wi),5906,,Janesville-Parker HS,,,
fondulac st mary's springs (wi),5907,,St Mary's Springs HS (WI),,"st clair high school, st johns high school",
oshkosh lourdes (wi),5908,,Lourdes HS,,,
menasha (wi),5909,,Menasha HS (WI),,,
appleton xavier (wi),5910,,Xavier HS,,,
ripon (wi),5911,,Ripon HS,,,
columbus brookhaven (oh),5912,,Brookhaven HS,,,
appleton fox valley lutheran (wi),5913,,Fox Valley Lutheran HS,,"huron valley womens, river valley academy",
indianapolis franklin central (in),5914,,Franklin Central HS,,"central academy, central high school",
christopher (il),5915,,Christopher HS,,,
tomahawk (wi),5916,,Tomahawk HS,Hatchets,,
medford (wi),5917,,Medford HS (WI),Raiders,,
phillips (wi),5918,,Phillips HS,,,
ashland (wi),5919,,Ashland HS,,,
whitehall yearling (oh),5920,,Whitehall Yearling HS,,,
lacrosse logan (wi),5921,,LaCrosse Logan HS,,,
schofield dc everest (wi),5922,,DC Everest HS,,everest academy,A9303503
marshfield (wi),5923,,Marshfield HS,,,
merrill (wi),5924,,Merrill HS,,"link learning merrill, merrill high school",
wausau west (wi),5925,,Wausau West HS,,"academy west alternative education, david ellis academy west",
rhinelander (wi),5926,,Rhinelander HS,,,
wausau east (wi),5928,,Wausau East HS,,"covenant house academy detroit east site, east china virtual academy",
stevens point (wi),5929,,Stevens Point HS,,,
superior (wi),5930,,Superior HS,,superior central school,
chippewa falls (wi),5931,,Chippewa Falls HS,,"chippewa correctional facility, chippewa valley adult and mohegan alt educ",
menomonie (wi),5932,,Menomonie HS,,,
eau claire memorial (wi),5933,,Eau Claire Memorial HS,,way eau claire,
lacrosse central (wi),5934,,LaCross Central HS,,"battle creek central high school, central michigan correctional facility",
depere west de pere (wi),5935,,West De Pere HS,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west",
green bay bay port (wi),5936,,Bay Port HS,,port huron schools phoenix academy,
clintonville (wi),5937,,Clintonville HS,,,
de pere (wi),5938,,De Pere HS,,"big bay de noc school, de la salle collegiate high school",
green bay ashwaubenon (wi),5939,,Ashwaubenon HS,,bay pines center,
new london (wi),5940,,New London HS,,"new beginnings alternative high school, new buffalo senior high school",
shawano (wi),5941,,Shawano HS,,,
pulaski (wi),5942,,Pulaski HS,,,
seymour (wi),5943,,Seymour HS,,,
spring lake park (mn),5944,,Spring Lake Park HS,,"ackerson lake community education, chandler park academy high school",
milwaukee thomas more (wi),5945,,Thomas More HS,,,
roseville (mn),5946,,Roseville HS,,roseville high school,
wisconsin rapids assumption (wi),5947,,Assumption HS,,,
milan edison (oh),5948,,Edison HS,,"edison, detroit edison public school academy high school",
amherst steele-amherst (oh),5949,,Steele-Amherst HS,,,
orrville (oh),5950,,Orrville HS,,,
martinsville (il),5951,,Martinsville HS,,,
stevens point pacelli (wi),5952,,Pacelli HS,,,
white lake-elcho (wi),5953,,White Lake/Elcho HS,,"ackerson lake community education, houghton lake community education",
crandon (wi),5954,,Crandon HS,,,
rochester-john marshall (mn),5955,,John Marshall  HS,,"marshall academy, rochester community schools virtual campus",
laona-wabeno (wi),5956,,Laona/Wabeno HS,,,
union city (in),5957,,Union City HS,,"arts academy in the woods, bay city academy farragut campus",
three lakes (wi),5958,,Three Lakes,,"great lakes bay early college, great lakes learning academy mshs",
sault ste marie ja turner (cn),5959,,JA Turner HS,,,
maple heights (oh),5960,,Maple Heights HS,,"dearborn heights virtual academy, godwin heights learning center",
sault ste marie streetsville (cn),5961,,Streetsville HS,,,
sault ste marie brampton (cn),5962,,Brampton HS,,,
chicago st rita (il),5963,,St Rita HS,,"st charles community middlehigh school, st clair county intervention academy",
evanston (il),5964,,Evanston HS,,,
chicago loyola (il),5965,,Chicago Loyola (IL),,,
fenwick (il),5966,,Fenwick HS,,,
mendel (il),5967,,Mendel HS,,,
chicago delasalle (il),5968,,DeLaSalle HS,,,
chicago leo (il),5969,,Leo HS,,way academy chicago site,
niantic  sangamon valley (il),5970,,Sangamon Valley HS,,"chippewa valley adult and mohegan alt educ, swan valley adult and alternative education",
mishawaka (in),5971,,Mishawaka HS,Cavemen,arts academy in the woods,
fort wayne northside (in),5972,,Northside HS,,,
lansing thorton fractional south (il),5973,,Thorton Fractional South HS,,"east lansing high school, south haven high school",
gary west side leadership academy (in),5974,,Gary West Side Leadership Academy (IN),,"54th street academy, academy 21",
indianapolis ritter (in),5975,,Ritter HS,,,
fort wayne elmhurst (in),5976,,Elmhurst HS,,,
gary roosevelt (in),5977,,Gary Roosevelt HS,,invest roosevelt alternative high school,
hammond (in),5978,,Hammond HS,,arts academy in the woods,
paulding (oh),5979,,Paulding HS,,,
columbus marion-franklin (oh),5980,,Marion-Franklin HS,,marion high school,
mcguffey upper scioto valley (oh),5981,,Upper Scioto Valley HS,,"huron valley womens, river valley academy",
ada (oh),5982,,Ada HS,,,
lima perry (oh),5983,,Perry HS,,perry learning center,
lafayette allen east (oh),5984,,Allen East HS,,"covenant house academy detroit east site, east english village preparatory academy",
spencerville (oh),5985,,Spencerville HS,,,
delphos jefferson (oh),5986,,Jefferson HS,,,
minster (oh),5987,,Minster HS,,,
waynesfield-goshen (oh),5988,,Waynesfield-Goshen HS,,,
butler eastside (in),5989,,Eastside HS,,,
lagrange lakeland (in),5990,,Lakeland HS,,,
albion central noble (in),5991,,Central Noble HS,,"central academy, central michigan correctional facility",
waupaca (wi),5992,,Waupaca HS,,,
ligonier west noble (in),5993,,West Noble HS,,"kalamazoo resa west campusyoung adult program, shiawassee resd student learning center west",
racine case (wi),5994,,Racine Case HS,,,
cudahy (wi),5995,,Cudahy HS,,,
chicago st francis de sales (il),5996,,St Francis de Sales HS,,"francis reh psa, st clair high school",
portage (wi),5997,,Portage HS,,"portage central high school, portage community high school",
monon north white (in),5998,,North White HS,,"north adamsjerome middlehigh school, north central area senior high school",
knox (in),5999,,Knox HS,,arts academy in the woods,
breman (in),6000,,Breman HS,,arts academy in the woods,
hobart river forest (in),6001,,River Forest HS,Ignots,"black river public school middlehigh, grand river preparatory high school",
culver (in),6002,,Culver HS,,arts academy in the woods,
bourbon triton (in),6003,,Triton HS,,,
wolcott tri county (in),6004,,Tri County HS,,"allegan county area technical and education center, alternative educational academy of iosco county",
walkterton john glenn (in),6005,,John Glenn HS,,,
waynesfield (oh),6006,,Waynesfield HS,,,
columbus grove (oh),6007,,Columbus Grove HS,,"lincolnking adams young school grove campus, maple grove alternative high school",
lakeside danbury (oh),6008,,Danbury HS,,,
connor (ky),6009,,Connor HS,,,
astabula sts. john and paul (oh),6010,,Sts John and Paul HS,,"academy for business and technology high school, academy of science math and technology early college high sc",
gates mills gilmour academy (oh),6011,,Gilmour Academy,,"54th street academy, academy 21",
cleveland south (oh),6012,,South HS,,"capstone academy charter school sda south campus, grosse pointe south high school",
strongsville (oh),6013,,Strongsville HS,,,
lakewood (oh),6014,,Lakewood HS,,lakewood high school,
lakewood st edward (oh),6015,,St Edward HS,,"st charles community middlehigh school, st clair county intervention academy",
cleveland john hay (oh),6016,,John Hay HS,,john m schultz educational campus,
mentor (oh),6017,,Mentor (OH),,,
cokato--dassel-cokato (mn),6018,,Dassel-Cokato HS,,,
parma padua franciscan (oh),6019,,Padua Franciscan HS,,,
winnetka north shore country day (il),6020,,North Shore Country Day HS,,"flex high north flint, high school north",
culver military academy (in),6021,,Culver Military Academy,,"academy 21, academy for business and technology high school",
south bend clay (in),6022,,South Bend Clay HS,,"capstone academy charter school sda south campus, grosse pointe south high school",
elkhart memorial (in),6023,,Elkhart Memorial HS,Chargers,,
munster (in),6024,,Munster HS,,arts academy in the woods,
south bend washington (in),6025,,South Bend Washington HS,,"capstone academy charter school sda south campus, way south haven",
new prairie (in),6026,,New Prairie HS,,"arts academy in the woods, new beginnings alternative high school",
south bend adams (in),6027,,South Bend Adams HS,,"capstone academy charter school sda south campus, grosse pointe south high school",
logansport (in),6028,,Logansport HS,,arts academy in the woods,
moose lake (mn),6029,,Moose Lake HS,,"ackerson lake community education, bear lake high school",
toledo libbey (oh),6030,,Libbey HS,,,
toledo woodward (oh),6031,,Woodward HS,,,
toledo scott (oh),6032,,Scott HS,,,
toledo bowsher (oh),6033,,Bowsher HS,,,
warrensville heights (oh),6034,,Warrensville Heights HS,,link learning grand rapids alger heights,
cleveland benedictine (oh),6035,,Benedictine HS,,,
ottawa glandorf (oh),6036,,Glandorf HS,,"lighthouse academy ottawa juvenile detention center, west ottawa high school campus",
cleveland elyria catholic (oh),6037,,Elyria Catholic HS,,,
plainfield tri-county (wi),6038,,Plainfield Tri-County (WI),,"allegan county area technical and education center, alternative educational academy of iosco county",
lyndhurst brush (oh),6039,,Brush HS,,,
wauwatosa east (wi),6040,,Wauwatosa East HS,,"covenant house academy detroit east site, east english village preparatory academy",
grove city hs (oh),6041,,Grove City HS (OH),,"bay city academy farragut campus, bay city adult educationctp",
colby (wi),6042,,Colby HS,,,
maple northwestern (wi),6043,,Northwestern HS,,"detroit collegiate preparatory high school at northwestern, maple grove alternative high school",
mission viejo (ca),6044,,Mission Viejo HS,,ca frost environmental science academy middle high school,
wittenberg-birnamwood (wi),6045,,Wittenberg-Birnamwood HS,,,
indiana school for the deaf (in),6046,,Indiana School For The Deaf,,"academy for business and technology high school, actech high school",
sault ste marie east-west (cn),6047,,East-West HS,,"east lee campus, kalamazoo resa west campusyoung adult program",
wisconsin school for the deaf (wi),6048,,Wisconsin School For The Deaf,,"actech high school, addison high school",
edinburgh (in),6049,,Edinburgh HS,,arts academy in the woods,
eureka (il),6050,,Eureka HS,,,
wausau newman catholic (wi),6051,,Wausau Newman Catholic (WI),,,
wateska (il),6052,,Watseka HS,,,
covington (oh),6053,,Covington HS,,,
painesville riverside (oh),6054,,Riverside HS,,,
west bend east (wi),6055,,West Bend East,,"academy west alternative education, covenant house academy detroit east site",
south holland thornwood (il),6056,,Thornwood HS,,"capstone academy charter school sda south campus, way south haven",
wauwatosa west (wi),6057,,Wauwatosa West HS,,"academy west alternative education, hope academy of west michigan",
kettering fairmont (oh),6058,,Kettering Fairmont HS,,,
milwaukee riverside (wi),6059,,Milwaukee Riverside HS,,,
park hills covington catholic (ky),6060,,Covington Catholic HS,,"allen park high school, forest park school",
whitefish bay (wi),6061,,Whitefish Bay HS,,"bay city academy farragut campus, bay city adult educationctp",
milwaukee juneau (wi),6062,,Milwaukee Juneau HS,,,
shorewood-messmer (wi),6063,,Shorewood/Messmer HS,,,
hicksville (oh),6064,,Hicksville HS,,,
edon (oh),6065,,Edon Northwest HS,,,
defiance tinora (oh),6066,,Tinora HS,,,
fairview park fairview (oh),6067,,Fairview HS,,"fairview school, progress park",
haviland wayne trace (oh),6068,,Wayne Trace HS,,ace,
edgerton (oh),6069,,Edgerton HS,,,
lake station edison (in),6070,,Lake Station Edison HS,,"edison, detroit edison public school academy high school",
middlebury northridge (in),6071,,Northridge HS,,,
goshen (in),6072,,Goshen HS,,arts academy in the woods,
nappanee northwood (in),6073,,Northwood HS,,,
angola (in),6074,,Angola HS,,arts academy in the woods,
goshen fairfield (in),6075,,Fairfield HS,,,
kendallville east noble (in),6076,,East Noble HS,,"east lee campus, way east jackson",
syracuse wawasee (in),6077,,Wawasee HS,,,
leo (in),6078,,Leo HS,,arts academy in the woods,
milwaukee bradley tech (wi),6079,,Milwaukee Bradley Tech HS,Trojans,"lisd tech center, van buren tech",
cincinnati la salle (oh),6080,,La Salle HS,,,
cleveland villa angela-st joseph (oh),6081,,Villa Angela-St Joseph HS,,"link learning st louis, st clair high school",
cleveland east (oh),6082,,East HS,,"covenant house academy detroit east site, east english village preparatory academy",
muskego (wi),6083,,Muskego HS,,,
greenfield (wi),6084,,Greenfield HS,,greenfield school,
greendale (wi),6085,,Greendale HS,,,
wales kettle moraine (wi),6086,,Kettle Moraine HS,,,
kettering archbishop alter (oh),6087,,Archbishop Alter HS,,,
oconto (wi),6088,,Oconto HS,,,
sandusky perkins (oh),6089,,Perkins HS,,sandusky juniorsenior high school,
upper sandusky (oh),6090,,Upper Sandusky HS,,sandusky juniorsenior high school,
cleveland john f kennedy (oh),6091,,John F Kennedy HS,,kennedy center,
brussels southern door (wi),6092,,Southern Door HS,,southern michigan center for science industry smcsi,
oconto falls (wi),6093,,Oconto Falls HS,,boyne falls public school,
kewaunee (wi),6094,,Kewaunee HS,,,
luxemburg-casco (wi),6095,,Luxemburg-Casco HS,,,
mischicot (wi),6096,,Mischicot HS,,,
algoma (wi),6097,,Algoma HS,,algoma christian school,02037436
sturgeon bay (wi),6098,,Sturgeon Bay HS,,"bay city academy farragut campus, bay city adult educationctp",
rockford christian life (il),6099,,Rockford Christian Life HS,,life skills center,
miamisburg (oh),6100,,Miamisburg HS,,,
dayton patterson (oh),6101,,Patterson HS,,,
newbury (oh),6102,,Newbury HS,,,
dayton belmont (oh),6103,,Belmont HS,,,
cincinnati purcell marian (oh),6104,,Purcell Marian HS,,,
dayton colonel white (oh),6105,,Colonel White HS,,,
dayton chaminade-julienne (oh),6106,,Chaminade-Julienne HS,,,
la grange (il),6107,,La Grange HS,,de la salle collegiate high school,00638133
chicago weber (il),6108,,Weber HS,,,
canton timken (oh),6109,,Timken HS,,canton preparatory high school,
jackson (oh),6110,,Jackson HS,,"east jackson secondary school, jackson area career center",
alliance (oh),6111,,Alliance HS,,"early college alliance, washtenaw alliance for virtual education",
canton south (oh),6112,,Canton South HS,,"canton preparatory high school, capstone academy charter school sda south campus",
duluth east (mn),6113,,Duluth East HS,,"covenant house academy detroit east site, east china virtual academy",
hayward (wi),6114,,Hayward/LacCourte Oreilles HS,,,
mosinee (wi),6115,,Mosinee HS,,,
gary wallace (in),6116,,Gary Lew Wallace HS,,"ace, arts academy in the woods",
fulton caston (in),6117,,Caston HS,,fulton alternative education,
wimonac community (in),6118,,Wimonac Community HS,,"ackerson lake community education, cedar street community and family center",
avon (oh),6119,,Avon HS,,,
warren champion (oh),6120,,Champion HS,,"warren consolidated community high school, warren woods education center",
nekoosa (wi),6121,,Nekoosa HS,,,
cincinnati western hills (oh),6122,,Western Hills HS,,,
cincinnati st  xavier (oh),6123,,St  Xavier HS,,"st charles community middlehigh school, virtual learning academyof st clair county",
cincinnati princeton (oh),6124,,Princeton HS,,,
hamilton (oh),6125,,Hamilton HS,,"hamilton high school, hamilton middle school",
fairfield (oh),6126,,Fairfield HS,,,
middletown (oh),6127,,Middletown HS,,,
lima (oh),6128,,Lima HS,,,
hamler patrick henry (oh),6129,,Patrick Henry HS,,henry ford early collegeadvanced manufacturing,
buffalo st joseph's collegiate (ny),6130,,St Joseph's Collegiate HS,,"detroit collegiate preparatory high school at northwestern, link learning st louis",
parma normandy (oh),6131,,Normandy HS,,,
erie cathedral prep (pa),6132,,Erie Cathedral Prep HS,,dearborn newcomer college prep academy,
youngstown cardinal mooney (oh),6133,,Cardinal Mooney HS,,,
canton central catholic (oh),6134,,Canton Central Catholic HS,,"canton high school, central academy",
youngstown austintown fitch (oh),6135,,Austintown Fitch HS,,,
albion (ny),6136,,Albion HS,,,
tonawanda cardinal o'hara (ny),6137,,Cardinal O'Hara HS,,,
athol springs st francis (ny),6138,,St Francis HS,,"francis reh psa, virtual learning academyof st clair county",
grand island (ny),6139,,Grand Island HS,,"beaver island community school, covenant house academy grand rapids",
plainfield (in),6140,,Plainfield HS,,arts academy in the woods,
buffalo nichols (ny),6141,,Nichols HS,,new buffalo senior high school,
buffalo bishop timon (ny),6142,,Bishop Timon HS,,,
buffalo canisius (ny),6143,,Canisius HS,,new buffalo senior high school,
chetek-weyerhaeuser (wi),6144,,Chetek-Weyerhaeuser (WI),,,
mason (oh),6145,,Mason HS,,"mason county central hs, mason county eastern junior highhigh school",
cumberland (wi),6146,,Cumberland HS,,,
ladysmith (wi),6147,,Ladysmith HS,,,
spooner (wi),6148,,Spooner HS,,,
oberlin firelands (oh),6149,,Firelands HS,,,
marion (wi),6150,,Marion (WI),,"marion d crouse instr center, marion high school",
iola-scandinavia (wi),6151,,Iola-Scandinavia HS,,,
st paul mounds view (mn),6152,,Mounds View HS,,"center for success at pleasant view, st charles community middlehigh school",
amherst (wi),6153,,Amherst HS,,,
bonduel (wi),6154,,Bonduel HS,,,
aurora christian (il),6155,,Aurora Christian HS,,"cadillac heritage christian school, community baptist christian school",
shiocton (wi),6156,,Shiocton HS,,,
centerville (oh),6157,,Centerville HS,,,
cincinnati hughes center (oh),6158,,Hughes Center HS,,"allegan county area technical and education center, apollo center",
liberty twp lakota east (oh),6159,,Lakota East HS,,"east lee campus, way east jackson",
columbus upper arlington (oh),6160,,Upper Arlington HS,,,
wild rose (wi),6161,,Wild Rose HS,,jalen rose leadership academy,
port edwards (wi),6162,,Port Edwards HS,,"port huron northern high school, port huron schools phoenix academy",
almond-bancroft (wi),6163,,Almond-Bancroft HS,,,
burlington central (il),6164,,Central High School,,"central michigan correctional facility, central montcalm middle high school",
cincinnati moeller (oh),6165,,Cincinnati Moeller (OH),,,
pittsburgh peabody (pa),6166,,Peabody HS,,,
vandergrift kiski area (pa),6167,,Kiski Area HS,,"allegan county area technical and education center, dollar baytamarack city area k12 school",
mercersburg (pa),6168,,Mercersburg HS,,,
windsor forester (cn),6169,,Forester HS,,,
amherstburg general amherst (cn),6170,,General Amherst HS,,,
belle river (cn),6171,,Belle River HS,,"black river public school middlehigh, grand river preparatory high school",
windsor sandwich (cn),6172,,Sandwich HS,,,
windsor walkerville (cn),6173,,Walkerville HS,,,
windsor assumption (cn),6174,,Windsor Assumption HS,,,
olmsted falls (oh),6175,,Olmsted Falls HS,,,
windsor lowe (cn),6176,,Lowe HS,,,
plymouth (in),6177,,Plymouth HS,,"arts academy in the woods, plymouth high school",
fort wayne homestead (in),6178,,Homestead HS,,,
gary calumet  (in),6179,,Calumet HS,,,
rib lake-prentice (wi),6180,,Rib Lake/Prentice HS,,"ackerson lake community education, houghton lake community education",
mt calvary st lawrence seminary (wi),6181,,St Lawrence Seminary HS,,"link learning st louis, st clair high school",
bunker hill maconaquah (in),6182,,Maconaquah HS,,hill center,
walton lewis cass (in),6183,,Lewis Cass HS,,,
calumet city thornton fractional north (il),6184,,Thornton Fractional North HS,Meteors,"bay city adult educationctp, bay city central high school",
